model_name;core_components;manufacturer_of_record
OrionBook Mini Plus;Frost Link Frame / Echo Vault;Crown Devices Inc.
OnyxLink Mini Pro;Nimbus Kernel Beam;Seabird Manufacturing Inc.
AstraKey SE Mini;Ivory Flow;Crown Group Inc.
TerraRouter Mini SE;Graphite Stack Engine;Lighthouse Manufacturing Inc.
AuroraWatch Mini Lite;Zen Flex / Pearl Node Core / Pulse Shield;DeepField Systems Inc.
CoreBeam Edge;Echo Engine;Nebula Industries Inc.
HarborCam Lite;Cedar Beam;Seabird Manufacturing Inc.
TerraStand Gen Air;Saffron Arc;RedStone Works Inc.
NebulaBuds Mini Pro Max;Copper Signal Stack;Orion Electronics Inc.
OnyxPhone Pro Edge;Crimson Kernel Edge;Glacier Labs Inc.
CrimsonStand Edge SE;Umbral Signal Shield;Pinecone Systems Inc.
SensePad Mini Lite;Zen Bridge Hub;Seabird Manufacturing Inc.
BeamSpeaker Mini Lite Mini;Cinder Shield Grid;Skylark Manufacturing Inc.
IndigoNode Lite Gen;Graphite Wave Node;Springboard Holdings Inc.
MiraLink Plus Air;Saffron Frame;Stonebridge Industries Inc.
GlacierCase Gen Plus;Cinder Link Layer;Windmill Manufacturing Inc.
EchoLink SE;Opal Engine Shield;Sunpeak Holdings Inc.
QuartzDock Gen;Terra Sync;Highland Industries Inc.
SilverStand Max;Sonic Drive Stack;RedStone Electronics Inc.
HarborWatch Max Air;Pulse Matrix;Arbor Devices Inc.
UmberRouter Edge Pro;Mint Matrix Pulse;Copperline Group Inc.
NovaCase Lite;Quanta Hub;Crown Devices Inc.
SlateBook Air;Echo Engine;Lumen Networks Inc.
LyraBook Mini;Echo Engine;Lumen Networks Inc.
SaffronPad Lite;Cerulean Layer;Ironwood Group Inc.
EchoCharge Max;Ruby Wave;Crown Devices Inc.
PhotonWatch SE SE Air;Astra Shield / Pearl Dock;Crown Devices Inc.
CobaltBook SE Air Plus;Copper Signal Stack;Skyforge Electronics Inc.
Umber Drive Spark Windmill;Umber Drive Spark;Windmill Manufacturing Inc.
MintBeam Air;Saffron Pulse Wave;Crown Devices Inc.
SilverWatch Plus Max;Zen Frame / Astra Kernel;NovaWorks Group Inc.
CopperPhone Mini SE Air;Violet Wave Vector;Crown Devices Inc.
EdgeNode Ultra Air;Kairo Bridge Frame;Summit Works Inc.
Graphite Shield Copperline;Graphite Shield;Copperline Holdings Inc.
OrionKey Ultra;Umbral Layer / Sol Fabric;Glacier Manufacturing Inc.
Nova Spark Orion;Nova Spark;Orion Technologies Inc.
GlacierRouter Edge Air;Coda Shield;Seabird Manufacturing Inc.
SilverDrive Mini Pro;Orion Grid Link;Seabird Manufacturing Inc.
SlateSpeaker Edge;Umber Signal / Quanta Flow;Crown Devices Inc.
LyraDrive Pro Max;Delta Arc;Nightfall Networks Inc.
CopperPad Plus Gen;Vega Grid Bridge;Mosaic Holdings Inc.
CodaPad SE Air Plus;Saffron Sense;Mosaic Holdings Inc.
Atlas Fabric Kernel GoldenGate;Atlas Fabric Kernel;GoldenGate Works Inc.
Umber Kernel Hub Copperline;Umber Kernel Hub;Copperline Holdings Inc.
DriveBook Mini Plus Pro;Copper Signal Stack;Lighthouse Works Inc.
TerraNode Ultra Edge;Violet Module Beam;Sunpeak Group Inc.
KairoLink Max Ultra;Citrine Engine Sense;Catalyst Holdings Inc.
BridgeCharge Air;Quartz Core;Skylark Manufacturing Inc.
GoldenLink Lite;Quartz Engine Drive;Arbor Devices Inc.
SenseBook Air Mini;Sol Matrix;Skyforge Labs Inc.
PulseBeam Air;Maple Shield;Skyforge Labs Inc.
HarborPad Mini Max;Aero Edge;Crown Devices Inc.
OrionSpeaker Edge;Copper Shield Core;Ironwood Group Inc.
OrionHub Edge Air;Sonic Kernel Layer;Evergreen Holdings Inc.
QuantaBuds Mini Edge;Cerulean Wave;Skylark Manufacturing Inc.
VectorHub Gen;Maple Wave;Seabird Manufacturing Inc.
MiraNode Air Plus Pro;Cobalt Vault;Evergreen Devices Inc.
FlexStand Mini SE Air;Citrine Kernel;Mosaic Systems Inc.
CopperKey Mini SE Air;Golden Dock;Evergreen Holdings Inc.
SonicPad Ultra Gen;Ivory Engine;Seabird Manufacturing Inc.
CrownCase Lite Mini SE;Maple Wave;Seabird Manufacturing Inc.
SaffronCharge Mini Edge Gen;Echo Engine;Stonebridge Holdings Inc.
BeamPhone Lite Plus;Copper Grid Kernel;Seabird Manufacturing Inc.
OnyxPad SE Gen Lite;Azure Hub;Skylark Electronics Inc.
OrionWatch Plus Lite;Umber Vault;Ironwood Systems Inc.
GlacierNode Mini Pro;Sable Flex;Arbor Components Inc.
Sierra Spark Glacier;Sierra Spark;Glacier Manufacturing Inc.
AuroraSpeaker SE Pro Max;Slate Drive Core;BlueRiver Networks Inc.
PulseBook Mini Mini;Frost Link Frame;Starlight Group Inc.
TealBeam Ultra SE;Citrine Mesh;Pinecone Components Inc.
NebulaBook Edge;Umbral Pulse;Pinecone Components Inc.
IndigoBuds Mini SE Air;Slate Wave Drive / Aero Dock / Crimson Core Matrix;RedStone Manufacturing Inc.
QuantaKey Edge Lite;Frost Link Frame;Crown Devices Inc.
SilverDrive Pro Edge;Pearl Flow / Zen Flex;DeepField Systems Inc.
GraphiteStand SE Mini;Cinder Arc / Cerulean Vector / Luna Bridge Shield;Crown Devices Inc.
HarborStand Mini SE Air;Frost Kernel;Lighthouse Networks Inc.
CitrineKey Max SE;Umber Module Engine;Ironwood Group Inc.
Astra Engine Fabric Aurora;Astra Engine Fabric;Aurora Industries Inc.
KairoCam SE Mini SE;Umbral Beam / Frost Dock / Coral Vector;Seabird Manufacturing Inc.
BeamNode Edge;Slate Sync;Seabird Manufacturing Inc.
RubyStand SE Mini;Argo Edge;GoldenGate Manufacturing Inc.
NebulaStand SE Gen;Azure Layer;Mosaic Systems Inc.
PulsePad Gen Mini;Pulse Module;RedStone Works Inc.
GraphiteBuds Plus;Ember Kernel;Windmill Networks Inc.
CopperCase Max Max;Umber Module Engine / Topaz Grid Node;Ironwood Group Inc.
HelioBeam Mini Plus Pro;Cerulean Engine Pulse;Seabird Manufacturing Inc.
SignalCam;Terra Stack;Meadow Works Inc.
QuantaBuds Plus SE;Argo Signal;Aurora Systems Inc.
SlateLink Mini Ultra;Violet Grid;Mosaic Holdings Inc.
PhotonSpeaker Mini Mini;Sierra Spark;Mountain Components Inc.
KairoPad SE Lite;Ember Engine;GoldenGate Networks Inc.
FlexCase Max;Sable Wave;RedStone Works Inc.
AstraLink Air Plus;Quanta Beam;Evergreen Holdings Inc.
NovaNode;Golden Grid Fabric;Glacier Electronics Inc.
BridgeBook Edge;Pulse Wave Wave;Harbor Devices Inc.
DriveBook Edge;Sable Module;Crown Devices Inc.
TealSpeaker Air;Opal Kernel Layer;Summit Manufacturing Inc.
KairoPad Gen Ultra;Magenta Kernel Wave;Nebula Systems Inc.
TopazLink Lite Mini SE;Quanta Link Edge;EchoLabs Holdings Inc.
GoldenDock Mini Gen Lite;Kairo Shield Link;Glacier Labs Inc.
TopazWatch Max Mini;Ivory Node;Glacier Labs Inc.
PulseSpeaker Edge Ultra;Ivory Frame;Quantum Works Inc.
OrionWatch Max;Quanta Dock;Ironwood Group Inc.
HarborCam Mini;Opal Hub;Ironwood Holdings Inc.
DriveSpeaker Gen Edge;Beryl Vector / Maple Matrix Mesh;Sunpeak Holdings Inc.
VectorCam Ultra Mini;Cerulean Stack Stack;Evergreen Devices Inc.
OrionSpeaker Plus Pro Max;Frost Grid Mesh;Arbor Devices Inc.
CrimsonDrive Mini Gen Lite;Orion Shield;Pinecone Systems Inc.
LyraNode SE Air Plus;Topaz Grid Node;Copperline Systems Inc.
EchoSpeaker Plus;Argo Arc;Harbor Systems Inc.
TerraDrive Ultra Mini;Cobalt Node;Clearwater Technologies Inc.
NebulaPad Lite Edge;Umber Layer;BlueRiver Networks Inc.
CrownCam Air;Graphite Signal;NovaWorks Components Inc.
OnyxNode Lite Mini SE Air;Sable Node Dock;Glacier Manufacturing Inc.
Topaz Vector Mosaic;Topaz Vector;Mosaic Group Inc.
AuroraWatch Plus Plus;Topaz Vector;EchoLabs Industries Inc.
NovaSpeaker SE Ultra;Coda Arc;NovaWorks Components Inc.
CodaKey Mini;Umbral Core;Glacier Manufacturing Inc.
Copper Drive Vector Copperline;Copper Drive Vector;Copperline Holdings Inc.
GlacierHub SE Air;Sable Bridge;Skyforge Manufacturing Inc.
AtlasPhone Mini Pro Max;Onyx Matrix Drive;Evergreen Holdings Inc.
UmberBuds SE Air Plus;Auric Node Engine;Mosaic Systems Inc.
Ruby Shield Pulse Aurora;Ruby Shield Pulse;Aurora Industries Inc.
DriveWatch Edge SE;Topaz Flex;Mosaic Holdings Inc.
VegaStand Max;Nimbus Node;Cinder Labs Inc.
MiraKey SE Edge;Citrine Shield Link;Seabird Manufacturing Inc.
QuartzPad SE;Delta Shield;RedStone Manufacturing Inc.
SyncDock Max;Saffron Bridge Sense;Seabird Manufacturing Inc.
CodaRouter Pro Max;Umbral Core;Nebula Systems Inc.
OnyxPhone Ultra Plus;Lyra Wave;Ironwood Group Inc.
SparkHub Ultra Mini;Onyx Engine;Aurora Systems Inc.
CatalystPhone Lite;Auric Hub / Helio Engine;Crown Devices Inc.
NovaNode Lite;Topaz Grid Node;BlueRiver Technologies Inc.
ArgoBeam Mini Mini SE;Cobalt Edge;Nightfall Electronics Inc.
BridgeLink Ultra Edge;Delta Link Stack / Delta Vector;Zenith Components Inc.
ArgoWatch Ultra Plus;Slate Flow;Seabird Manufacturing Inc.
SaffronBuds Ultra;Delta Pulse Core;Nebula Systems Inc.
GraphiteCharge Pro Gen;Magenta Stack;Harbor Systems Inc.
MiraPhone SE Ultra Edge;Ember Grid Dock;DeepField Industries Inc.
GlacierBook SE Mini SE;Azure Stack;Crown Industries Inc.
SparkCase Ultra Edge;Sol Sync;Zenith Components Inc.
CobaltWatch Plus Mini;Echo Engine;Northwind Electronics Inc.
SyncNode Ultra Gen;Copper Signal Stack;NovaWorks Devices Inc.
CitrineSpeaker Mini Lite;Kairo Link Arc;Mosaic Systems Inc.
DriveKey Pro Ultra;Copper Signal Stack;Nebula Systems Inc.
Argo Bridge Core Photon;Argo Bridge Core;Photon Works Inc.
GraphiteWatch Ultra SE;Onyx Stack Beam;Ironwood Group Inc.
AuroraBook SE;Aero Spark;Zenith Components Inc.
MintWatch Gen Plus;Luna Engine;Seabird Works Inc.
SenseNode SE;Delta Sync;BlueRiver Networks Inc.
CrownBuds Mini Edge Gen;Violet Arc / Ivory Signal Matrix;Springboard Group Inc.
Cobalt Signal Copperline;Cobalt Signal;Copperline Holdings Inc.
SparkCharge Mini Air;Cedar Module;Sunpeak Holdings Inc.
HelioKey Gen Air;Sierra Dock;Arbor Components Inc.
NebulaSpeaker SE Max Ultra;Delta Hub;Harbor Group Inc.
ArgoPad Pro Mini;Beryl Kernel Vector;Clearwater Technologies Inc.
WaveHub Gen;Coda Beam;Highland Devices Inc.
GraphiteNode Ultra Air;Delta Kernel Pulse;Atlas Networks Inc.
OrionKey Pro Ultra;Aero Shield;Harbor Devices Inc.
Maple Matrix Ironwood;Maple Matrix;Ironwood Industries Inc.
SilverHub;Violet Matrix Grid / Saffron Matrix Sync;Glacier Manufacturing Inc.
SenseWatch Air SE;Ivory Arc / Atlas Kernel / Helio Drive Hub / Vega Drive Frame;Skyforge Networks Inc.
BeamHub Mini Air Plus;Copper Grid / Ember Node Sync / Auric Module Vector / Cerulean Pulse / Magenta Dock / Pearl Stack Spark / Topaz Dock;Lighthouse Manufacturing Inc.
SolWatch SE;Azure Engine;Astra Manufacturing Inc.
TealCam Pro Max Ultra;Pearl Kernel Drive;Springboard Industries Inc.
CrownCharge Edge Gen;Ivory Kernel;Seabird Manufacturing Inc.
BeamBuds Max Edge;Auric Flow;Nightfall Electronics Inc.
NimbusWatch Plus Mini;Ivory Vault;Seabird Manufacturing Inc.
Coda Shield Aurora;Coda Shield;Aurora Industries Inc.
Sonic Node Drive Windmill;Sonic Node Drive;Windmill Manufacturing Inc.
AuroraStand Plus;Cerulean Link;Evergreen Holdings Inc.
Kairo Edge Windmill;Kairo Edge;Windmill Manufacturing Inc.
HelioBuds Edge;Indigo Edge;Mosaic Holdings Inc.
BridgeWatch SE Pro Max;Mint Core Spark;Harbor Systems Inc.
TealWatch Gen Air;Quanta Stack;Seabird Manufacturing Inc.
AstraBeam;Jade Flow;Quantum Networks Inc.
Copper Arc Aurora;Copper Arc;Aurora Industries Inc.
OrionBuds SE Edge Gen;Cobalt Node;GoldenGate Works Inc.
TealBook Gen Lite;Umbral Core;Glacier Labs Inc.
Magenta Stack Aurora;Magenta Stack;Aurora Industries Inc.
OrionNode Air;Cobalt Signal Hub;Evergreen Devices Inc.
CrimsonNode Lite Lite;Umber Wave Link;RedStone Works Inc.
SonicPad Edge;Auric Bridge Signal;Catalyst Holdings Inc.
KairoDock Air;Umbral Beam / Cinder Vector;Seabird Manufacturing Inc.
MiraHub Gen Ultra;Helio Frame;BrightWave Works Inc.
BeamDock Air;Onyx Fabric;RedStone Electronics Inc.
Beryl Link Windmill;Beryl Link;Windmill Manufacturing Inc.
SummitStand Max;Copper Kernel Spark;Mosaic Systems Inc.
RubyPad Gen Lite Mini;Ivory Node Node;Harbor Industries Inc.
OnyxLink Ultra Edge;Golden Stack Core;Harbor Systems Inc.
BeamPad Pro Gen;Luna Wave / Magenta Core;Aurora Systems Inc.
SummitLink Mini SE;Mira Wave Sense;Clearwater Technologies Inc.
UmberNode Mini;Ember Node;Glacier Electronics Inc.
CrimsonCase Edge Ultra;Saffron Kernel Dock;BlueRiver Technologies Inc.
EdgeCharge Plus;Coral Stack Sense;Crown Devices Inc.
OpalCam Pro Gen;Zen Layer;Nightfall Networks Inc.
AuroraPad Edge;Zen Vector;Glacier Labs Inc.
CobaltNode Gen Lite Mini;Frost Grid Mesh;Nebula Systems Inc.
CitrineCase Lite Mini;Auric Flex;NovaWorks Components Inc.
MiraStand Mini Mini SE;Quartz Engine Drive;Skyforge Electronics Inc.
SignalPad SE Lite;Lime Flex;BrightWave Works Inc.
OrionBeam;Copper Matrix;Riverstone Works Inc.
SilverPhone Gen;Coral Engine Sync;Catalyst Holdings Inc.
FlexStand Air;Crimson Matrix;Glacier Manufacturing Inc.
UmberStand Edge;Violet Kernel Pulse;Seabird Works Inc.
NebulaLink Air Pro;Lime Wave Spark;Atlas Electronics Inc.
Vega Node Aurora;Vega Node;Aurora Industries Inc.
VectorStand SE Plus;Terra Module;Northwind Labs Inc.
LumenBuds Mini Gen;Sol Kernel;Aurora Systems Inc.
ArgoLink Edge Mini;Azure Mesh / Frost Dock / Violet Matrix;Mosaic Systems Inc.
Pulse Pulse Signal Aurora;Pulse Pulse Signal;Aurora Industries Inc.
EchoNode Mini Air Plus;Ruby Bridge Layer;BlueRiver Manufacturing Inc.
CodaPad Gen Mini;Ruby Bridge Layer;BlueRiver Manufacturing Inc.
OpalDrive Pro Ultra;Beryl Matrix Core;Aurora Industries Inc.
SaffronWatch Max Max;Ruby Bridge Layer;BlueRiver Manufacturing Inc.
SignalBook Mini Ultra Edge;Copper Signal Stack;Skyforge Electronics Inc.
HelioNode Lite;Copper Grid / Ember Node Sync / Auric Module Vector / Cerulean Pulse / Magenta Dock / Pearl Stack Spark / Slate Dock;Aurora Systems Inc.
AzureStand Edge;Jade Kernel Node;Ironwood Group Inc.
FlexDock Edge Air;Magenta Shield;Glacier Manufacturing Inc.
ZenithNode Lite;Copper Grid / Ember Node Sync / Auric Module Vector / Cerulean Pulse / Magenta Dock / Pearl Stack Spark / Slate Dock;Aurora Systems Inc.
Vega Node Windmill;Vega Node;Windmill Manufacturing Inc.
SonicWatch SE Plus Pro;Umbral Sense;Glacier Electronics Inc.
CoreStand Max Ultra Edge;Saffron Kernel Dock;NovaWorks Devices Inc.
