model_name,core_components,manufacturer_of_record
SlateCharge Plus,Terra Bouclier Sync,Mosaic Components Inc.
AzurePad SE Air Plus,Nimbus Node Kernel,Mountain Systems GmbH
SolCharge Mini Mini SE,Opal Kern Mesh,NovaWorks Devices Inc.
KairoBook Pro,Zen Bouclier,Mosaic Components Inc.
PhotonLink Mini SE,Zen Netz Matriz,BrightWave Technologies Inc.
SummitStand Air Plus Pro,Mint Mesh + Cinder Dock + Violet Matriz,Mosaic Systems GmbH
WaveCase Edge Gen Lite,"Pulse Bouclier, Pearl Node Kern, Zen Flex",Northwind Manufacturing Inc.
PulseDrive Air SE,Graphite Gewebe Frame,Copperline Devices Inc.
AuroraBuds Ultra Air,Opal Hub,NovaWorks Components GmbH
CopperKey Mini Lite Mini,Cerulean Kern,Meadow Networks Inc.
PulseRouter Edge Mini,Quartz Bridge Vector,Mosaic Holdings AG
GlacierStand Max Ultra Edge,Vega Bridge Sync,Cinder Works AG
HarborStand Mini SE Air / OrionHub Edge Air,Frost Kernel,Lighthouse Networks Inc.
OpalPhone Mini Gen,Maple Kern Engine,Northwind Labs AG
NovaCharge Air Mini,Sonic Vault,NovaWorks Devices Inc.
SolNode Lite Air,Sierra Stack,Ironwood Group Inc.
ArgoPad Air Pro,Astra Dock and Azure Modul Hub,Glacier Labs Inc.
FlexCam Edge,Magenta Lien Gewebe + Sonic Bouclier Kernel,Cinder Works AG
CoreKey Lite,Azure Flex + Magenta Lien Gewebe,Cinder Works AG
AstraLink Air Plus,Quanta Rayo,Evergreen Holdings AG
MiraKey SE Edge,Citrine Bouclier Lien,Seabird Manufacturing AG
UmberKey Mini Pro Max,Graphite Edge,Clearwater Works Inc.
TealDrive Max,Argo Matriz Kernel,Mosaic Holdings AG
SummitCase Edge Gen,Sierra Sense,Aurora Industries Inc.
FlexRouter SE Lite,Vega Stack Stack,Nightfall Networks Inc.
DriveCharge Pro Mini,Argo Layer,Harbor Systems Inc.
EchoStand Gen Edge,Cobalt Kernel Wave,Glacier Labs Inc.
SparkPad SE,Umbral Wave,Clearwater Technologies AG
HelioStand Ultra,Onyx Signal,Aurora Systems Inc.
EdgeSpeaker SE Gen,Echo Signal Frame and Echo Netz Engine,Nightfall Labs AG
SlateNode Edge Ultra,Echo Bridge Sense,Catalyst Holdings Inc.
EdgeBuds Lite Mini SE,Copper Signal Stack,Evergreen Holdings AG
SummitPhone Mini,Orion Sense,Seabird Manufacturing AG
JadeDock Pro Gen,Sonic Gewebe,Mosaic Holdings AG
SparkWatch Max Mini,"Graphite Stack, Atlas Rayo, Delta Frame, Echo Bridge, Ruby Vector, Umber Engine, Lyra Gewebe, Graphite Kernel, Graphite Pulse, Teal Spark, Quanta Kernel Spark, Cinder Flex, Coral Dock, Cinder Pulse, Pearl Edge, Violet Pulse, Quartz Signal Wave, Lyra Spark, Sonic Arc, Magenta Node, Opal Kern",Zenith Holdings Inc.
SonicPad Ultra Gen,Ivory Engine,Seabird Manufacturing AG
SlatePad SE Mini SE,Ivory Bouclier,Seabird Works Sàrl
AzureSpeaker Air,Lyra Sync,Glacier Manufacturing Inc.
SaffronCase Plus,Atlas Signal + Mint Gewebe Netz,Quantum Technologies Inc.
CatalystLink SE,Umbral Rayo and Cinder Vector,Seabird Manufacturing AG
ZenithDock Gen,Quartz Flex and Mint Node Sync,Clearwater Works Inc.
MiraKey Mini SE,Luna Sync,Mosaic Devices Inc.
IndigoStand SE SE,Cinder Sync,Mosaic Holdings AG
CrownCharge Edge Gen,Ivory Kernel,Seabird Manufacturing AG
CatalystPad Air Pro,Sol Lien Vault,Seabird Manufacturing AG
GoldenDrive Max Ultra,Sonic Netz,Arbor Systems Sàrl
OnyxCam Edge,Lyra Bridge Spark & Azure Signal Edge,Seabird Manufacturing AG
HelioNode Mini Lite,Umber Flow,DeepField Systems Inc.
BeamLink Mini Mini SE 1TB Dual‑SIM,Sierra Lien,Springboard Components Inc.
SenseDock Max,Sierra Pulse,Ironwood Group Inc.
OrionSpeaker Edge,Copper Bouclier Kern,Ironwood Group Inc.
ZenithCam Pro Plus,Astra Pulse Node,Windmill Manufacturing GmbH
CodaStand Air Plus Pro,Vega Rayo,Saffron Holdings Inc.
AtlasPhone Mini Pro Max,Onyx Matriz Drive,Evergreen Holdings AG
GoldenPhone Gen,Umber Gewebe,Mosaic Systems GmbH
VectorPhone Mini Plus,Cinder Matriz,Mountain Industries Inc.
CoreCase Mini SE Air,Cinder Gewebe + Mint Mesh + Cinder Dock,Ironwood Systems AG
MintDock Mini Pro Max,Golden Engine Kernel,BlueRiver Technologies Inc.
CrownNode SE,Pulse Matriz,Ironwood Group Inc.
SonicWatch Mini Max,Quartz Netz Signal,Ironwood Group Inc.
PulseCharge Pro,Lime Matriz Lien,EchoLabs Industries Sàrl
CitrineCharge Ultra,Teal Netz and Maple Flex,Lighthouse Networks Inc.
SparkNode Gen,Lime Vault,Mountain Devices AG
CitrineHub Gen Gen,Indigo Spark + Graphite Lien Mesh,Glacier Electronics Inc.
GraphiteCase Lite Mini SE,Zen Wave Node,Glacier Manufacturing Inc.
AtlasSpeaker SE SE Air,Zen Spark,Catalyst Devices GmbH
GraphiteBuds Plus,Ember Kernel,Windmill Networks Inc.
CopperCase Plus,Coral Modul Dock and Teal Kernel,Copperline Components Inc.
BridgeCam Plus Pro,Cedar Hub,Evergreen Group Sàrl
LumenWatch SE SE Air,Golden Bridge; Lime Stack,Skylark Technologies Inc.
GlacierSpeaker SE Lite Mini,Coral Rayo,Cinder Works AG
OpalWatch Pro Air,Slate Layer,Ironwood Group Inc.
CitrineWatch Gen Edge,Azure Spark,BlueRiver Manufacturing GmbH
SilverKey Pro,"Lime Flow, Mint Lien Kern, Lyra Lien Rayo, Lime Lien, Auric Lien Wave, Opal Stack Lien, Crimson Lien Netz",Springboard Components Inc.
AuroraStand Mini Lite Mini,Saffron Wave,Glacier Manufacturing Inc.
EdgePhone SE,Quartz Modul,Skylark Technologies Inc.
CobaltCharge Mini Gen Lite 64GB Dual‑SIM,Sierra Lien,Skyforge Works Inc.
SenseWatch Air SE,"Ivory Arc, Atlas Kernel, Helio Drive Hub, Vega Drive Frame",Skyforge Networks GmbH
VegaDock Mini Mini SE,Ember Engine Rayo,Clearwater Technologies AG
SolWatch Mini Gen,Slate Drive,Orion Networks Inc.
AstraPad Edge Plus,Cedar Spark,BlueRiver Manufacturing GmbH
OpalLink Edge,Sierra Signal Edge,BlueRiver Manufacturing GmbH
PhotonWatch SE SE Air,"Astra Bouclier, Pearl Dock",Crown Devices Inc.
OpalCharge Pro Max,Umbral Node Hub,BrightWave Technologies Inc.
PearlStand Lite Mini,Cerulean Kernel,Evergreen Holdings AG
CodaBuds Mini Max,Onyx Netz Flow,Meadow Works Sàrl
SparkCase Gen Mini,Maple Netz,BrightWave Technologies Inc.
AuroraDrive Lite Ultra,Azure Wave and Coral Pulse and Coral Bouclier and Helio Node Engine,Evergreen Holdings AG
GlacierStand Mini Plus Pro,Cerulean Kernel; Echo Vault,Evergreen Holdings AG
IndigoLink Air,Mira Matriz and Coral Bouclier and Helio Node Engine,Cinder Works AG
FlexStand Air,Crimson Matriz,Glacier Manufacturing Inc.
GraphitePad SE Pro,Astra Spark,BrightWave Works Inc.
TopazKey Gen,Ember Gewebe & Azure Mesh,Glacier Labs Inc.
JadeRouter Air Plus 1TB Starter Kit,Crimson Layer,Zenith Components Inc.
SolBeam,Coral Sense,Lighthouse Works GmbH
SparkSpeaker Mini,Cinder Modul,Arbor Industries GmbH
LumenCam Air,Umbral Stack,Mountain Systems GmbH
TealCam Gen,Sierra Hub,Harbor Systems Inc.
SlateCharge Mini,Mira Kern,Aurora Group AG
MintBuds Mini Air,Teal Netz & Sonic Kernel Layer,Lighthouse Networks Inc.
GlacierBuds Ultra Edge,"Umbral Flow, Mint Lien Kern, Auric Lien Wave, Opal Stack Lien, Cedar Lien Bridge, Lyra Stack, Indigo Signal",Summit Electronics Inc.
SparkSpeaker Ultra Ultra,Quanta Spark,Crown Devices Inc.
Heli oPad Gen Edge,Cerulean Matriz,DeepField Components Inc.
UmberCam Gen Ultra,Argo Drive and Astra Vault,Crown Devices Inc.
WaveBuds Lite Lite,Argo Drive,Crown Devices Inc.
BeamBuds Lite Mini,Argo Drive + Frost Lien Frame,Crown Devices Inc.
MintKey Lite Mini SE Air,Cerulean Mesh & Maple Signal Spark & Onyx Bouclier Dock,RedStone Electronics Sàrl
HelioCharge SE Lite Mini,Ember Kern,RedStone Works Inc.
AzureCam Edge,Magenta Pulse Engine,Ironwood Systems AG
JadeCam Edge SE,Cobalt Layer,BlueRiver Manufacturing GmbH
CopperStand Mini Mini SE,Ember Hub and Graphite Hub,Windmill Works Inc.
ZenithLink Max Ultra,Cedar Signal,Mosaic Systems GmbH
UmberCharge Mini Gen,Sierra Bridge Matriz,Aurora Systems Inc.
SaffronWatch Max Max,Ruby Bridge Layer,BlueRiver Manufacturing GmbH
AtlasStand Gen Lite,Umber Dock,Summit Electronics Inc.
BridgeNode Air Plus,Magenta Pulse Engine,Seabird Works Sàrl
OnyxStand Edge Plus,Slate Bridge,BlueRiver Networks Inc.
RubyWatch Gen Gen 128GB Starter Kit,Maple Modul Arc,Lighthouse Networks Inc.
NebulaWatch Lite Plus,Copper Matriz Vault,Mosaic Devices Inc.
CopperKey Mini SE Air,Golden Dock,Evergreen Holdings AG
SlateHub Mini Lite Mini,Cerulean Kernel Flow,Starlight Group Sàrl
AstraDock Mini Lite Mini,Luna Sync,Atlas Electronics Inc.
CoreBook Air Lite / CrownCase Lite Mini SE,Copper Netz Kernel,Seabird Manufacturing AG
SolPad Pro Pro,Sable Arc,RedStone Electronics Sàrl
LumenCam Pro SE,"Coral Bouclier, Sonic Kernel Layer, Helio Node Engine",Cinder Works AG
SparkCase Mini Pro,Ruby Flex,Copperline Components Inc.
AtlasNode Pro,Sierra Hub,SilverLine Group Inc.
SignalDrive Ultra Mini,Graphite Node Lien & Sierra Signal,Copperline Components Inc.
SignalCase Plus Ultra,Orion Flex,Riverstone Works GmbH
EchoRouter Mini,Violet Signal,Sunpeak Holdings Inc.
BeamRouter Max,Umbral Sync,NovaWorks Systems Sàrl
AuroraRouter Air Plus,Sonic Engine,Windmill Works Inc.
MintBuds Edge Mini,Silver Matriz Spark,Atlas Works AG
QuantaPad Pro Lite,Beryl Stack Kernel,Starlight Group Sàrl
FlexCam Lite Gen,Nova Kernel and Astra Frame,Glacier Networks AG
PulsePad SE Plus Pro,Vega Matriz Vector,Skylark Manufacturing Sàrl
VegaWatch Ultra 256GB Starter Kit,Sierra Lien,NovaWorks Devices Inc.
LyraCam Pro Edge,Helio Layer,Atlas Electronics Inc.
OnyxSpeaker SE SE Air,Teal Bridge,Seabird Manufacturing AG
PulseBuds Edge,Lyra Bouclier,Harbor Systems Inc.
UmberCharge Air Pro,Terra Vault,Lumen Electronics Inc.
WaveNode Ultra Mini,Cobalt Bridge Bridge; Topaz Wave,Orion Manufacturing GmbH
CopperDock Mini Ultra Edge,Helio Node Engine,Cinder Works AG
CitrineCam Gen,Mira Sync,BlueRiver Manufacturing GmbH
OnyxCase Mini Mini SE,Coral Lien,DeepField Industries Inc.
CoreSpeaker Pro Plus,Topaz Engine Signal,Nightfall Labs AG
DriveDock Max,Delta Matriz + Onyx Modul Spark,Starlight Industries Inc.
VectorCharge Edge,Onyx Signal Sync,Springboard Group Inc.
SparkNode Gen,Lime Vault,Mountain Devices AG
TealBook Gen Lite,Umbral Kern,Glacier Labs Inc.
AstraPhone Lite Pro,Quanta Flex,EchoLabs Systems GmbH
HarborCam SE Max Ultra,Crimson Wave,Evergreen Systems AG
OpalNode,Pulse Bridge Dock,Evergreen Group Sàrl
BridgeDrive Lite,Mira Drive,BrightWave Works Inc.
UmberBuds Mini,Argo Hub,Harbor Systems Inc.
NimbusNode Air,Ruby Matriz,Mountain Components Inc.
PhotonLink Max,Crimson Layer,Clearwater Works Inc.
SensePad Mini Lite,Zen Bridge Hub,Seabird Manufacturing AG
OrionBeam Lite Plus,Nimbus Wave Pulse and Violet Node Flow,Crown Industries Inc.
DriveKey Max Ultra Edge,Luna Engine Engine,Evergreen Holdings AG
SyncPhone SE Pro Max,Golden Pulse,Crown Group AG
CobaltDrive,Echo Pulse and Teal Netz Hub,Mountain Components Inc.
QuantaDock,Onyx Kern,Mountain Industries Inc.
SyncDock Max,Saffron Bridge Sense,Seabird Manufacturing AG
VectorWatch Edge,Aero Matriz and Maple Kernel,BrightWave Works Inc.
UmberDock Edge Lite,Opal Gewebe Matriz,Summit Electronics Inc.
HelioKey Lite Mini SE Air,Teal Drive,Glacier Electronics Inc.
JadePad Mini Air Plus,Topaz Bridge Arc,Arbor Components Inc.
WaveLink Mini Lite Mini,Mira Kern Drive; Pearl Engine Layer; Crimson Kernel Edge,Glacier Labs Inc.
SaffronBeam Gen,Delta Modul Rayo,BrightWave Works Inc.
SilverBuds Lite,"Sol Bouclier, Coral Pulse, Coral Bouclier, Helio Node Engine",Cinder Works AG
SyncCase Gen Gen,Cerulean Wave Signal,Crown Devices Inc.
NebulaStand SE Air Plus,Cedar Stack & Onyx Modul Spark & Zen Modul,Starlight Industries Inc.
SlateBuds Mini,Argo Hub,Aurora Components Inc.
WaveBeam Air,Umbral Bouclier Node,BrightWave Works Inc.
VegaDrive Mini Edge,Topaz Layer,Skylark Manufacturing Sàrl
CobaltBeam Mini Mini,Atlas Sync,RedStone Networks Inc.
OnyxPad Lite Plus,Helio Netz Frame,RedStone Networks Inc.
ArgoBook Mini Plus Pro,Zen Lien Mesh,Stonebridge Group AG
CodaBook Edge,Azure Signal,Sunpeak Holdings Inc.
NebulaStand SE Gen,Azure Layer,Mosaic Systems GmbH
EchoBook Pro Plus,Mira Lien Sync,Riverstone Manufacturing Sàrl
CoreBook Air Lite,Copper Netz Kernel,Seabird Manufacturing AG
SonicPad Edge Ultra,Lime Kernel,Cinder Technologies GmbH
Argo Layer Atlas,Argo Layer,Atlas Technologies Inc.
SensePhone SE SE Air,Astra Vault and Topaz Wave,GoldenGate Technologies Inc.
SolDock SE,Cerulean Mesh,Atlas Technologies Inc.
IndigoDock Max,Violet Matriz,Mountain Group Inc.
AzureCharge Mini Lite RevA,Argo Layer,Quantum Works Inc.
MiraCase Pro Edge,Ember Vector,NovaWorks Devices Inc.
PhotonDock Edge Edge,Beryl Engine,Windmill Works Inc.
SummitPad Lite Gen,Helio Netz Frame; Echo Kern Kernel,Riverstone Technologies Inc.
OrionBeam,Copper Matriz,Riverstone Works GmbH
MiraBuds Mini,Beryl Frame & Astra Engine Gewebe,Mosaic Group GmbH
SilverSpeaker Edge,Pulse Stack Kern,Ironwood Group Inc.
KairoBook Mini Ultra,Ember Bouclier + Astra Vault,Riverstone Technologies Inc.
PhotonPad Plus SE,Nova Frame,Cinder Technologies GmbH
FlexDrive Max Plus,Aero Vault,Mountain Group Inc.
NebulaLink Mini,Zen Bridge Hub,Harbor Holdings Inc.
MintKey Max,Indigo Wave,Harbor Systems Inc.
PhotonLink Plus Pro Max,Atlas Sync,Arbor Devices Sàrl
MintNode Mini Lite Mini,Mira Bridge Flow,Northwind Manufacturing Inc.
SlateCharge Plus,Terra Bouclier Sync,Mosaic Components Inc.
BeamBeam Edge,Echo Engine,Skylark Manufacturing Sàrl
NovaSpeaker Mini Gen,Zen Flex,DeepField Systems Inc.
BeamCase Air Air,Orion Vector,Crown Components Inc.
BridgeCase Max SE,Mint Modul Edge,GoldenGate Manufacturing Inc.
VectorPhone SE SE Air,Cobalt Node,Clearwater Technologies AG
QuantaCam Lite SE,Jade Stack,Astra Labs AG
CodaDrive Ultra Edge,Pearl Signal Flow,RedStone Electronics Sàrl
TerraDrive Ultra Mini,Cobalt Node,Clearwater Technologies AG
CopperPhone Lite SE,Magenta Lien Gewebe,Cinder Works AG
WavePhone SE Edge Gen,Mira Kernel Vector,Meadow Electronics GmbH
MintBuds Pro Max 64GB Refurbished,Quartz Hub,Meadow Networks Inc.
TopazWatch Max Mini,Ivory Node,Glacier Labs Inc.
CodaBuds Ultra Pro,Sable Engine Edge,BlueRiver Networks Inc.
HelioKey Mini Edge,Crimson Spark,EchoLabs Group Inc.
CitrineKey Max SE,Umber Modul Engine,Ironwood Group Inc.
OpalHub,Mint Spark and Cedar Node and Orion Stack and Astra Drive Spark,Crown Components Inc.
SummitBook SE Gen Lite,Cerulean Sync,Harbor Systems Inc.
GoldenBuds Plus,Ruby Kernel,BrightWave Technologies Inc.
AstraHub Edge,Topaz Kernel,Highland Industries Inc.
JadeCharge Pro Pro,Lime Bridge,GoldenGate Works Inc.
BeamRouter Max,Umbral Sync,NovaWorks Systems Sàrl
SilverBeam Mini Ultra Edge,Umbral Bouclier,Mosaic Systems GmbH
LyraDrive SE,Nimbus Drive,Mountain Industries Inc.
QuartzBeam Max,"Luna Signal, Maple Flex, Nova Node Stack",Crown Devices Inc.
QuartzNode Plus Pro Max,Sol Kern,Copperline Devices Inc.
CatalystWatch Edge,Delta Bridge Kernel,Ironwood Group Inc.
VectorCam Ultra Mini,Cerulean Stack Stack,Evergreen Devices Sàrl
GraphiteNode Ultra Air,Delta Kernel Pulse,Atlas Networks Inc.
OrionNode Air,Cobalt Signal Hub,Evergreen Devices Sàrl
CobaltLink Mini Plus,Astra Spark,BrightWave Works Inc.
GraphiteCharge Air,"Slate Arc, Copper Pulse, Helio Engine",Skyforge Networks GmbH
SenseCase Mini Mini SE,Beryl Flex,Skylark Manufacturing Sàrl
TerraPhone Plus,Kairo Drive Matriz,Starlight Systems Sàrl
UmberPhone Ultra,Umber Node,Highland Components Inc.
MintBook Air,Quanta Drive,RedStone Works Inc.
LyraCam Mini RevB,Topaz Pulse,Windmill Technologies Inc.
CrownNode Ultra,Silver Modul,Glacier Manufacturing Inc.
VectorDrive Mini Lite,Astra Bridge,Clearwater Technologies AG
AuroraStand Mini,Sonic Frame; Orion Hub; Kairo Hub; Pulse Gewebe; Cedar Bridge Wave; Lyra Matriz Layer,Orion Networks Inc.
EchoLink SE,Opal Engine Bouclier,Sunpeak Holdings Inc.
GraphiteBuds Plus,Ember Kernel,Windmill Networks Inc.
HarborKey Max,Quartz Modul,Springboard Holdings Inc.
DriveCase Max,Sable Wave,Zenith Group Inc.
SyncBeam Max,Saffron Kernel + Coral Lien,Quantum Technologies Inc.
OrionNode Lite,Azure Bridge Matriz,Aurora Industries Inc.
TealCharge SE Air,Nova Layer,Arbor Components Inc.
GraphiteWatch Ultra SE,Onyx Stack Rayo,Ironwood Group Inc.
CodaNode Edge Lite,Coda Signal Lien,DeepField Components Inc.
NebulaPad Lite Edge,Umber Layer,BlueRiver Networks Inc.
QuantaDock,Onyx Kern,Mountain Industries Inc.
NovaNode,Golden Netz Gewebe,Glacier Electronics Inc.
MiraCam Air,Zen Gewebe,GoldenGate Networks Inc.
BridgeCharge Air,Quartz Kern,Skylark Manufacturing Sàrl
SonicBuds Plus,Ruby Layer,Windmill Networks Inc.
QuartzRouter Plus,Delta Kern,Mosaic Systems GmbH
SonicPad Edge,Auric Bridge Signal,Catalyst Holdings Inc.
CobaltBook Edge,Mira Bouclier,Glacier Manufacturing Inc.
HarborCharge Ultra Edge,Umber Lien,Quantum Works Inc.
VectorPhone Mini Plus,Cinder Matriz,Mountain Industries Inc.
SaffronBook Mini Plus,Quanta Stack Modul,Mosaic Holdings AG
BeamCharge Mini Pro,Violet Matriz,Orion Electronics Sàrl
RubyHub SE SE,Copper Spark,Nebula Industries Inc.
SolStand SE Ultra,Quanta Bouclier,Skylark Manufacturing Sàrl
TealStand SE Max,Graphite Bridge Hub,Catalyst Holdings Inc.
IndigoNode Ultra Plus,Sierra Netz Rayo,BlueRiver Networks Inc.
Slate Grid Pulse Nebula,Slate Netz Pulse,Nebula Industries Inc.
AzureNode,Zen Matriz Arc,Aurora Group AG
CodaPhone Air,Cinder Dock,Skylark Electronics Inc.
ZenithDrive Air,Sonic Matriz,Harbor Devices Inc.
PulseBeam Air / SenseBook Air Mini RevB,Maple Bouclier,Skyforge Labs Inc.
EchoSpeaker Plus,Argo Arc,Harbor Systems Inc.
