model_name,manufacturer_of_record
CitrineRouter 256GB Starter Kit/AtlasStand Air Air 256GB Starter Kit + MiraPhone 128GB Refurbished,Northwind Networks Inc.
TealRouter 256GB Dual‑SIM,Sunpeak Components Inc.
MintRouter 512GB Bundle/JadeStand Air Max 1TB Bundle,Skyforge Labs Inc.
JadeRouter 128GB Dual‑SIM,Skyforge Labs Inc.
JadeRouter 128GB Starter Kit,Skyforge Labs Inc.
CopperRouter 64GB Bundle,Seabird Labs Inc.
CopperRouter 512GB Starter Kit,Seabird Labs Inc.
SilverRouter 64GB Refurbished,Glacier Labs Inc.
SilverRouter 128GB Refurbished,Glacier Labs Inc.
SilverRouter 128GB Starter Kit/GraphiteBeam Gen 1TB Dual‑SIM,Glacier Labs Inc.
SilverRouter 128GB Starter Kit/GraphiteBeam Gen 256GB Refurbished,Glacier Labs Inc.
SilverRouter 512GB Dual‑SIM,Glacier Labs Inc.
SilverRouter 256GB Bundle,Glacier Labs Inc.
GoldenRouter 512GB Dual‑SIM,BlueRiver Works Inc.
GoldenRouter 64GB Refurbished,BlueRiver Works Inc.
GraphiteRouter 1TB Bundle,Nebula Industries Inc.
GraphiteRouter 256GB Refurbished/GraphiteBeam Gen 1TB Dual‑SIM,Nebula Industries Inc.
GraphiteRouter 256GB Refurbished/GraphiteBeam Gen 256GB Refurbished,Nebula Industries Inc.
GraphiteRouter 512GB Dual‑SIM,Nebula Industries Inc.
"PhotonRouter 128GB Dual‑SIM/KairoNode Gen 64GB Dual‑SIM,EchoPhone 128GB Bundle",SilverLine Holdings Inc.
CatalystRouter 1TB Starter Kit,Crown Industries Inc.
CatalystRouter 64GB Starter Kit,Crown Industries Inc.
CatalystRouter 64GB Dual‑SIM,Crown Industries Inc.
VectorRouter 512GB Refurbished/GraphiteBeam Gen 1TB Dual‑SIM,Zenith Systems Inc.
VectorRouter 512GB Refurbished/GraphiteBeam Gen 256GB Refurbished,Zenith Systems Inc.
VectorRouter 128GB Refurbished,Zenith Systems Inc.
VectorRouter 1TB Starter Kit,Zenith Systems Inc.
BridgeRouter 128GB Dual‑SIM,EchoLabs Group Inc.
BridgeRouter 128GB Dual‑SIM,EchoLabs Group Inc.
SignalRouter 256GB Refurbished,Catalyst Holdings Inc.
SignalRouter 512GB Refurbished,Catalyst Holdings Inc.
SyncRouter 64GB Bundle,BlueRiver Manufacturing Inc.
SyncRouter 1TB Refurbished,BlueRiver Manufacturing Inc.
SyncRouter 64GB Dual‑SIM/GraphiteBeam Gen 1TB Dual‑SIM,BlueRiver Manufacturing Inc.
SyncRouter 64GB Dual‑SIM/GraphiteBeam Gen 256GB Refurbished,BlueRiver Manufacturing Inc.
SyncRouter 256GB Starter Kit,BlueRiver Manufacturing Inc.
FlexRouter 1TB Refurbished,DeepField Industries Inc.
FlexRouter 128GB Bundle/GraphiteBeam Gen 1TB Dual‑SIM,DeepField Industries Inc.
FlexRouter 128GB Bundle/GraphiteBeam Gen 256GB Refurbished,DeepField Industries Inc.
FlexRouter 64GB Bundle,DeepField Industries Inc.
SparkRouter 512GB Starter Kit,Ironwood Group Inc.
SparkRouter 256GB Dual‑SIM,Ironwood Group Inc.
SparkRouter 1TB Refurbished/GraphiteBeam Gen 1TB Dual‑SIM,Ironwood Group Inc.
SparkRouter 1TB Refurbished/GraphiteBeam Gen 256GB Refurbished,Ironwood Group Inc.
SparkRouter 128GB Dual‑SIM,Ironwood Group Inc.
WaveRouter 1TB Bundle,Windmill Manufacturing Inc.
WaveRouter 128GB Starter Kit,Windmill Manufacturing Inc.
WaveRouter 1TB Starter Kit/GraphiteBeam Gen 1TB Dual‑SIM,Windmill Manufacturing Inc.
WaveRouter 1TB Starter Kit/GraphiteBeam Gen 256GB Refurbished,Windmill Manufacturing Inc.
WaveRouter 128GB Dual‑SIM,Windmill Manufacturing Inc.
BeamRouter 128GB Refurbished,Glacier Labs Inc.
BeamRouter 1TB Dual‑SIM,Glacier Labs Inc.
BeamRouter 256GB Dual‑SIM/GraphiteBeam Gen 1TB Dual‑SIM,Glacier Labs Inc.
BeamRouter 256GB Dual‑SIM/GraphiteBeam Gen 256GB Refurbished,Glacier Labs Inc.
BeamRouter 512GB Bundle,Glacier Labs Inc.
BeamRouter 256GB Starter Kit,Glacier Labs Inc.
EdgeRouter 64GB Refurbished,Evergreen Group Inc.
EdgeRouter 64GB Refurbished,Evergreen Group Inc.
CoreRouter 512GB Starter Kit,NovaWorks Systems Inc.
CoreRouter 1TB Starter Kit/GraphiteBeam Gen 1TB Dual‑SIM,NovaWorks Systems Inc.
CoreRouter 1TB Starter Kit/GraphiteBeam Gen 256GB Refurbished,NovaWorks Systems Inc.
CoreRouter 64GB Dual‑SIM,NovaWorks Systems Inc.
