id,market,raw_model_name,normalized_model_name,raw_core_components,manufacturer
52075,CH,TealCam Gen,TealCam Gen,Sierra Hub,Harbor Systems Inc.
52300,CH,NebulaBuds Air Mini,NebulaBuds Air Mini,Saffron Arc,Arbor Components Inc.
52194,CH,HelioKey Mini Edge,HelioKey Mini Edge,Crimson Spark,EchoLabs Group Inc.
52071,CH,JadeRouter Air Plus 1TB Starter Kit,JadeRouter Air Plus,Crimson Layer,Zenith Components Inc.
52026,CH,BeamLink Mini Mini SE 1TB Dual‑SIM,BeamLink Mini Mini SE,Sierra Lien,Springboard Components Inc.
52311,CH,LyraPhone Air,LyraPhone Air,Frost Sync,Windmill Technologies Inc.
51883,CH,OtalPhone Minz Gen,OtalPhone Minz Gen,Maple Kern Engine,Nightfall Networks Inc.
52045,CH,CopperCase Plus,CopperCase Plus,Coral Modul Dock and Teal Kernel,Copperline Components Inc.
52150,CH,NebulaStand SE Air Plus,NebulaStand SE Air Plus,Cedar Stack & Onyx Modul Spark & Zen Modul,Starlight Industries Inc.
52114,CH,VegaWatch Ultra 256GB Starter Kit,VegaWatch Ultra,Sierra Lien,NovaWorks Devices Inc.
51999,CH,UmberKey Mini Pro Max,UmberKey Mini Pro Max,Graphite Edge,Clearwater Works Inc.
52214,CH,UmberPhone Ultra,UmberPhone Ultra,Umber Node,Highland Components Inc.
52144,CH,HelioKey Lite Mini SE Air,HelioKey Mini SE Air,Teal Drive,Glacier Electronics Inc.
52030,CH,CodaStand Air Plus Pro,CodaStand Air Plus Pro,Vega Rayo,Saffron Holdings Inc.
51916,CH,MiraWatch Edge,MiraWatch Edge,Ruby Node Edge + Beryl Rayo,RedStone Networks Inc.
52224,CH,SyncBeam Max,SyncBeam Max,Saffron Kernel + Coral Lien,Quantum Technologies Inc.
51987,CH,CopperKey Mini Lite Mini,CopperKey Mini Mini,Cerulean Kern,Meadow Networks Inc.
51958,CH,AzureCharge Mini Lite RevB,AzureCharge Mini RevB,Magenta Engine Flow,Quantum Works Inc.
52203,CH,LyraDrive SE,LyraDrive SE,Nimbus Drive,Mountain Industries Inc.
51917,CH,SenseCase Gen,SenseCase Gen,Ruby Node Edge and Topaz Rayo,Mountain Industries Inc.
51980,CH,SolCharge Mini Mini SE,SolCharge Mini Mini SE,Opal Kern Mesh,NovaWorks Devices Inc.
52103,CH,SparkCase Mini Pro,SparkCase Mini Pro,Ruby Flex,Copperline Components Inc.
52122,CH,OnyxCase Mini Mini SE,OnyxCase Mini Mini SE,Coral Lien,DeepField Industries Inc.
51955,CH,HarborBeam Edge,HarborBeam Edge,Coda Vector,Harbor Holdings Inc.
52104,CH,AtlasNode Pro,AtlasNode Pro,Sierra Hub,SilverLine Group Inc.
